Title,Start Time,Total Duration
tote mädchen lügen nicht,2018-06-04 17:39:00,154323.0
haus des geldes,2018-06-17 13:45:00,196086.0
naruto,2018-06-28 06:09:00,280744.0
death note,2018-06-28 10:51:00,5999.0
stranger things,2018-06-29 08:39:00,25353.0
saw,2018-07-01 13:43:00,5754.0
cowspiracy,2018-07-01 19:08:00,10585.0
shadowhunters,2018-07-03 18:18:00,24038.0
house of cards,2018-07-20 15:19:00,126137.0
welcome to the family,2018-07-29 12:24:00,32240.0
open house,2018-08-12 15:34:00,5811.0
titanic,2018-08-12 22:36:00,7629.0
black swan,2018-08-13 17:24:00,6193.0
riverdale,2018-08-14 20:57:00,191353.0
gossip girl,2018-08-15 18:44:00,3535.0
spirit ,2018-08-24 14:27:00,4609.0
orange is the new black,2018-09-03 18:24:00,315859.0
sierra burgess is a loser,2018-09-29 20:36:00,6024.0
to all the boys i’ve loved before,2018-09-30 17:19:00,21515.0
alte zöpfe,2018-09-30 20:21:00,1945.0
the kissing booth,2018-10-01 13:30:00,19148.0
spf-18,2018-10-01 20:22:00,3306.0
life of pi,2018-10-02 13:51:00,2109.0
greenhouse academy,2018-10-02 14:58:00,51748.0
élite,2018-10-05 13:55:00,25228.0
insatiable,2018-10-11 19:27:00,31451.0
einfach zu haben,2018-10-12 20:43:00,10860.0
girls united,2018-10-18 14:01:00,5897.0
girls united again,2018-10-18 15:51:00,5076.0
lone ranger,2018-10-18 20:34:00,4728.0
#realityhigh,2018-10-20 12:11:00,5609.0
dude,2018-10-20 20:05:00,5544.0
you get me,2018-10-22 13:21:00,4876.0
how to be single,2018-10-23 16:05:00,6219.0
shooter,2018-10-26 14:09:00,17101.0
der medicus,2018-10-27 12:13:00,8923.0
american horror story,2018-10-28 16:15:00,12025.0
chilling adventures of sabrina,2018-11-01 14:56:00,15854.0
black butler,2018-11-16 21:48:00,17502.0
baby,2018-12-01 20:22:00,11293.0
mogli,2018-12-10 12:13:00,2880.0
tatsächlich... liebe,2019-01-04 18:12:00,4227.0
you ,2019-01-07 19:25:00,13273.0
prison break,2019-01-10 12:13:00,270369.0
sex education,2019-01-12 18:31:00,119900.0
modern family,2019-01-20 12:22:00,2652.0
bodyguard,2019-01-20 15:46:00,3434.0
suits,2019-01-30 21:34:00,4997.0
how to get away with murder,2019-02-14 09:30:00,3134.0
the order,2019-03-13 16:40:00,40309.0
on my block,2019-04-04 20:19:00,45246.0
wen würdest du auf eine einsame insel mitnehmen?,2019-04-12 09:29:00,1898.0
yakari,2019-04-17 21:10:00,3419.0
the perfect date,2019-04-26 17:35:00,5107.0
quicksand ,2019-04-27 18:31:00,16015.0
the protector,2019-04-30 06:26:00,2087.0
bonding,2019-05-01 18:26:00,5291.0
the last summer,2019-05-06 21:49:00,6139.0
3 %,2019-06-10 12:44:00,53884.0
diebische elstern,2019-06-19 14:22:00,14612.0
kidnapping stella,2019-07-18 15:45:00,3062.0
vis a vis,2019-07-23 14:14:00,2117.0
der supermiese freund,2019-08-04 11:10:00,6050.0
lucifer retten,2019-08-04 12:12:00,5933.0
wer ist der neue höllenfürst?,2019-08-04 13:02:00,3254.0
sintonia,2019-08-15 16:29:00,2063.0
das schicksal ist ein mieser verräter,2019-08-18 14:03:00,14545.0
the seven deadly sins,2019-08-19 17:03:00,60704.0
undefeated bahamut chronicle,2019-08-19 17:11:00,13279.0
kakegurui ,2019-08-19 17:16:00,15157.0
the irregular at magic high school,2019-08-19 17:17:00,30549.0
cam,2019-08-30 19:59:00,5557.0
das spiel,2019-08-30 21:41:00,6113.0
orphan ,2019-08-31 20:12:00,7139.0
unbekannter anrufer,2019-09-03 20:49:00,5236.0
pokémon ,2019-09-12 21:06:00,9484.0
sex tape,2019-09-21 22:25:00,5584.0
south park,2019-10-01 11:48:00,5313.0
naruto shippuden 5,2019-10-06 14:14:00,5929.0
the last,2019-10-06 16:02:00,6441.0
naruto shippuden movie 3,2019-10-08 18:01:00,5488.0
naruto shippuden,2019-10-08 19:42:00,213452.0
castlevania,2019-10-20 22:26:00,42387.0
guilty crown,2019-10-22 14:51:00,2502.0
yu-gi-oh!,2019-10-23 20:50:00,20762.0
how to sell drugs online (fast),2019-10-23 21:32:00,17499.0
food wars! shokugeki no soma,2019-10-23 23:43:00,9613.0
the end of the f***ing world,2019-10-27 16:23:00,16944.0
drachenzähmen leicht gemacht,2019-10-28 17:03:00,5364.0
the i-land,2019-10-29 00:01:00,8088.0
a chivalry of a failed knight,2019-11-02 23:12:00,9220.0
baki,2019-11-05 14:43:00,69149.0
goblin slayer,2019-11-20 18:00:00,6576.0
grimoire of zero,2019-11-23 15:42:00,10224.0
crossing lines,2019-11-26 10:25:00,67845.0
is this a zombie?,2019-11-26 23:50:00,6808.0
the irishman,2019-11-27 08:41:00,12481.0
die geschichte von league of legends,2019-11-28 11:40:00,4701.0
tales of zestiria the x,2019-11-28 11:50:00,14295.0
revisions,2019-11-30 02:02:00,6512.0
hot girls wanted,2019-12-15 01:32:00,4947.0
my hero academia,2019-12-20 22:59:00,21931.0
the witcher,2019-12-21 21:22:00,98623.0
kevin ,2019-12-25 21:51:00,7432.0
free!,2020-01-03 01:40:00,34149.0
mulan,2020-01-03 11:41:00,4909.0
the blacklist,2020-01-14 11:50:00,363540.0
flavors of youth,2020-02-21 22:16:00,4522.0
date a live,2020-03-01 18:48:00,9702.0
your name. ,2020-03-06 11:57:00,5193.0
attack on titan,2020-03-06 18:06:00,62177.0
high speed!,2020-03-17 21:24:00,6680.0
big mouth,2020-03-20 23:40:00,3937.0
yu-gi-oh! bonds beyond time,2020-03-22 00:56:00,2799.0
granblue fantasy the animation,2020-03-26 23:36:00,5226.0
der junge und das biest,2020-03-29 22:07:00,7138.0
deine geschichte in dragon quest,2020-03-31 23:08:00,5962.0
tiger king,2020-04-14 17:40:00,17973.0
kengan ashura,2020-04-16 03:32:00,43994.0
ni no kuni,2020-04-22 19:17:00,6484.0
beyblade burst,2020-04-23 23:07:00,7561.0
ghost in the shell,2020-04-25 16:54:00,2566.0
blind side ,2020-05-01 23:32:00,7765.0
flugmodus,2020-05-03 22:22:00,5822.0
der schacht,2020-05-04 20:50:00,11307.0
how i met your mother,2020-05-04 22:27:00,17966.0
sieben,2020-05-10 13:46:00,7337.0
boruto,2020-05-10 23:15:00,2548.0
vikings,2020-05-11 18:22:00,263627.0
too hot to handle,2020-05-15 21:41:00,2452.0
die nackte wahrheit,2020-05-17 12:21:00,11809.0
300,2020-05-17 14:09:00,13136.0
dragonball z,2020-05-20 02:41:00,5453.0
insidious,2020-05-20 21:01:00,5734.0
dragon ball z ,2020-05-21 15:16:00,2545.0
norbit,2020-05-22 20:36:00,5929.0
percy jackson,2020-05-23 06:49:00,7400.0
cook up a storm,2020-05-24 07:20:00,5830.0
nymphomaniac,2020-05-24 21:21:00,5947.0
hostel,2020-05-25 21:50:00,5957.0
tokyo ghoul,2020-05-26 20:33:00,44376.0
akame ga kill,2020-05-31 00:53:00,5890.0
the king's speech ,2020-05-31 13:20:00,6749.0
goodfellas ,2020-06-01 09:24:00,3757.0
no game no life,2020-06-04 01:58:00,4120.0
chappie,2020-06-06 18:41:00,6809.0
365 days,2020-06-09 18:42:00,13221.0
der marsianer ,2020-06-14 16:22:00,8317.0
the app,2020-06-14 21:29:00,4504.0
the experiment,2020-06-28 22:23:00,5364.0
the bye bye man,2020-07-01 15:51:00,5428.0
um ein schnurrhaar,2020-07-03 21:41:00,2849.0
interstellar,2020-07-03 22:00:00,20013.0
besser geht's nicht,2020-07-04 17:48:00,8021.0
don’t f**k with cats,2020-07-08 21:10:00,16003.0
st. vincent,2020-07-11 15:56:00,5901.0
sword art online,2020-07-16 17:12:00,42530.0
cursed ,2020-07-19 11:28:00,31144.0
the kissing booth 2,2020-07-25 10:35:00,7713.0
troja,2020-07-25 16:41:00,17130.0
fate/zero,2020-07-29 21:19:00,31056.0
searching,2020-08-22 22:21:00,5865.0
mein nachbar totoro,2020-08-27 22:10:00,5223.0
jackass,2020-08-28 22:54:00,4622.0
sword art online the movie,2020-09-05 19:34:00,6928.0
the anthem of the heart,2020-09-11 22:50:00,9580.0
project x,2020-09-12 22:27:00,5423.0
newness,2020-09-16 20:45:00,3712.0
süchtig nach sex,2020-09-18 15:22:00,6479.0
dragon's dogma,2020-09-19 03:38:00,11429.0
enola holmes,2020-09-25 16:23:00,11544.0
die welle,2020-09-25 21:41:00,7635.0
demon king daimao,2020-09-30 01:41:00,3884.0
abgeschnitten,2020-10-13 19:31:00,4758.0
jojo’s bizarre adventure,2020-10-13 23:25:00,11969.0
the it crowd,2020-10-18 17:03:00,4761.0
one-punch man,2020-10-23 00:39:00,23259.0
rebecca,2020-10-24 12:11:00,7089.0
pokémon,2020-10-26 20:08:00,5564.0
erased,2020-10-27 19:52:00,2578.0
holidate,2020-10-30 16:04:00,12323.0
freunde mit gewissen vorzügen,2020-10-30 19:56:00,6144.0
zwischen zwei leben - the mountain between us,2020-11-05 01:03:00,6380.0
luke! die schule und ich,2020-11-17 17:20:00,2352.0
isi & ossi,2020-11-18 16:33:00,6617.0
prinzessinnentausch,2020-11-23 15:42:00,7623.0
weihnachten nach wunsch,2020-11-30 15:10:00,2757.0
midnight at the magnolia,2020-11-30 15:56:00,4968.0
das damengambit,2020-12-01 15:09:00,26248.0
weihnachtsball im wunderland,2020-12-03 16:59:00,4982.0
catch me if you can,2020-12-05 00:42:00,2002.0
christmas wedding planner,2020-12-07 08:29:00,5090.0
cinderella story ,2020-12-08 19:50:00,4043.0
the holiday calendar,2020-12-10 14:17:00,3457.0
alles gute kommt von oben,2020-12-11 17:34:00,5388.0
keeping up with the kardashians,2020-12-13 10:06:00,2403.0
a california christmas,2020-12-14 11:46:00,9025.0
dein letztes solo,2020-12-16 18:06:00,40040.0
the christmas chronicles,2020-12-16 23:43:00,5978.0
girls club ,2020-12-23 01:10:00,5611.0
schon wieder weihnachten,2020-12-25 19:00:00,5849.0
bridgerton,2021-01-02 15:41:00,61019.0
red sparrow,2021-01-10 18:38:00,7933.0
lupin,2021-02-08 07:08:00,10625.0
to all the boys,2021-02-14 11:36:00,6170.0
pokémon meisterdetektiv pikachu,2021-02-24 22:23:00,6513.0
high-rise invasion,2021-02-27 00:40:00,17284.0
ginny & georgia,2021-03-08 07:37:00,38713.0
feuer im kopf,2021-03-10 20:30:00,5264.0
devilman crybaby,2021-03-15 02:38:00,6705.0
yes day,2021-03-15 18:37:00,4771.0
dota,2021-04-07 13:12:00,7453.0
fate/grand order,2021-05-01 02:29:00,4250.0
fate/apocrypha,2021-05-01 03:41:00,24709.0
fate/stay night,2021-05-03 19:02:00,39892.0
seraph of the end,2021-05-11 01:18:00,17865.0
fate/extra last encore,2021-05-13 05:29:00,3201.0
neon genesis evangelion,2021-05-17 23:52:00,39652.0
last hope,2021-05-18 05:20:00,4821.0
the end of evangelion,2021-05-21 02:57:00,8714.0
evangelion,2021-05-22 03:39:00,5870.0
der prinz der drachen,2021-05-25 16:42:00,6845.0
twilight ,2021-05-25 19:26:00,7071.0
new moon ,2021-05-25 21:25:00,7350.0
the heroic legend of arslan,2021-05-29 12:19:00,31810.0
pretty guardian sailor moon eternal,2021-06-06 02:07:00,4699.0
forrest gump,2021-06-08 03:58:00,8185.0
charité,2021-06-20 17:22:00,2892.0
the impossible,2021-06-20 22:45:00,9093.0
record of ragnarok,2021-06-22 00:16:00,25176.0
mortal kombat,2021-06-27 04:29:00,4965.0
resident evil,2021-06-28 02:28:00,6803.0
(t)raumschiff surprise periode 1,2021-07-24 18:01:00,5235.0
hunter x hunter,2021-08-03 23:45:00,100375.0
record of grancrest war,2021-08-06 09:52:00,13555.0
rascal does not dream of bunny girl senpai,2021-08-13 03:01:00,6920.0
shaman king,2021-08-15 03:52:00,12453.0
a certain magical index,2021-08-16 00:27:00,4610.0
persona 5,2021-08-25 23:49:00,13159.0
overlord,2021-08-28 04:00:00,2004.0
silver skates,2021-09-04 14:18:00,7821.0
the kissing booth 3,2021-09-05 13:54:00,6440.0
rosario + vampire,2021-09-13 02:07:00,18070.0
dracula untold,2021-09-13 11:28:00,5105.0
squid game,2021-09-19 03:52:00,49418.0
baki hanma,2021-10-02 03:35:00,17917.0
darwin’s game,2021-10-31 19:48:00,16770.0
arcane,2021-11-07 09:20:00,4597.0
prinzessinnentausch 3,2021-11-23 11:56:00,6013.0
the big bang theory,2021-11-29 18:32:00,58879.0
a christmas prince,2021-12-24 14:50:00,15556.0
red notice,2021-12-28 13:32:00,6524.0
the last kingdom,2022-01-03 08:03:00,136762.0
the game changers,2022-02-01 11:58:00,4887.0
r.i.p.d. ,2022-02-14 17:38:00,5267.0
seaspiracy,2022-02-22 15:22:00,3177.0
don't look up,2022-02-22 19:05:00,7788.0
sieben jahre in tibet,2022-04-07 19:18:00,3273.0
the in between,2022-04-12 13:59:00,3750.0
shadow and bone ,2022-05-11 13:25:00,49501.0
365 days ,2022-05-28 16:57:00,6444.0
harry potter und der halbblutprinz,2022-05-29 17:04:00,3565.0
a perfect pairing,2022-06-01 14:31:00,5766.0
noch nie in meinem leben …,2022-07-22 13:30:00,46855.0
sandman,2022-08-22 11:36:00,29538.0
"boo, bitch",2022-09-08 12:36:00,10787.0
enola holmes 2,2022-11-17 11:41:00,7461.0
christmas with you,2022-11-24 16:11:00,3486.0
schlummerland,2022-12-04 10:34:00,6635.0
wednesday,2022-12-11 19:28:00,22173.0
tiny house nation usa,2022-12-15 17:29:00,33778.0
falling for christmas,2022-12-24 20:52:00,5555.0
your place or mine,2023-02-13 20:54:00,6257.0
anatomie eines skandals,2023-03-05 20:45:00,14850.0
the night agent,2023-03-29 10:40:00,4555.0
